HML_SI,HML_SI_BIN,HML_SI_CAT,CORR_PRODUCTION,CORR_NC_RATE,CORR_COKE_RATE,CORR_FUEL_RATE,CORR_COAL_RATE,HM_TEMP,QUARTZ_RATE,LIMESTONE_RATE,SLAG_RATE,PYROXINITE_RATE,SINTER_PERC,PELLET_PERC,HOT_BLAST_TEMP,COLD_BLAST_O2_ENRICH,O2_INJ_FLOW,COLD_BLAST_HUMID,FUR_RAFT_TEMP,COMP_COLD_BLAST_FLOW,UPTAKE_AVG,HL_TOTAL_GJ_HR,UPPER_K,MIDDLE_K,LOWER_K,K,HML_S,HML_CAO,HML_SIO2,HML_MGO,HML_AL2O3,HML_CAO_SIO2,COK_MOISTURE,COK_CSR,COK_CRI,COK_AMS,SIN_CAO_SIO2,SIN_MGO
0.758,0,H,6392.38,51.624,361.681,539.236,177.555,1514.714,9.048,0,292,17.143,46.972,39.951,1186.936,6.981,22528.467,15.857,2246.775,215.774,119.175,138.406,0.553,0.815,2.201,3.568,0.039,35.683,32.997,9.207,19.463,1.081,0.767,67.31,22.38,37.497,2.437,1.71
0.823,0,H,6398.66,51.73,345.385,531.83,186.445,1509.167,14.762,0,298,17.143,49.61,40,1187.759,7,22554.51,15.6,2219.58,215.272,118.954,133.576,0.575,0.858,2.066,3.5,0.045,34.124,34.62,9.509,19.31,0.986,1.5,67.93,22.96,37.56,2.368,1.792
0.806,0,H,6438.7,51.874,343.703,529.299,185.596,1517.857,6.825,0,296,15.238,50.122,39.965,1186.042,6.877,22178.738,15.138,2215.444,215.966,111.061,129.657,0.571,0.733,2.218,3.522,0.039,34.58,33.847,9.435,19.458,1.022,0.833,68.1,23.5,37.424,2.342,1.71
0.743,0,H,6409.43,46.65,351.201,540.142,188.94,1512.5,6.508,0,298,15.079,50.064,40.024,1184.785,6.898,22080.415,15,2205.143,214.29,114.986,122.344,0.547,0.701,2.252,3.5,0.042,34.21,33.8,9.646,19.464,1.012,0.7,67.1,25.3,37.519,2.328,1.73
0.748,0,H,6434.65,46.623,366.764,540.511,173.747,1514.25,5.238,0,303,15.873,50.126,39.951,1184.194,7.002,22490.205,15,2251.931,214.489,117.437,115.85,0.549,0.625,2.371,3.545,0.05,33.677,34.383,9.857,19.449,0.979,0.433,65.623,25.784,37.699,2.225,1.768
0.747,0,H,6406.46,44.642,358.857,535.241,176.384,1524,1.111,0,306,16.984,50.092,40.006,1186.024,7.004,22467.242,16.85,2238.088,214.72,119.454,113.755,0.567,0.604,2.369,3.54,0.037,34.627,33.903,9.964,18.69,1.021,0.533,64.46,26.32,37.792,2.46,1.85
0.73,0,H,6303.81,45.052,353.278,542.212,188.933,1503,6.825,0,299,12.698,50.095,39.966,1181.746,6.984,22311.933,15.888,2210.483,213.589,136.23,120.28,0.626,0.834,2.271,3.731,0.043,34.581,33.663,9.805,18.954,1.027,0.64,64.8,25.8,37.277,2.422,1.81
0.891,0,H,6236.14,53.559,356.631,544.568,187.937,1529.286,6.508,0,298,12.222,50.226,39.813,1184.645,6.968,22044.381,21.879,2182.036,213.182,145.057,108.683,0.671,0.756,2.457,3.884,0.039,34.892,33.536,9.02,19.232,1.04,1.7,67,24.7,36.921,2.405,1.776
0.847,0,H,6228.98,46.557,359.77,538.451,178.681,1516.571,9.683,0,304,14.286,49.965,40.118,1184.654,7,22038.999,17.081,2234.979,210.741,122.939,113.647,0.619,0.731,2.428,3.779,0.039,36.122,33.529,8.687,19.014,1.077,1.1,67.19,23.57,37.357,2.374,1.718
0.852,0,H,6174.57,47.777,372.981,549.674,176.692,1519.429,7.258,0,310,15.968,50.111,39.968,1174.612,6.643,21243.922,16.461,2229.201,211.475,102.712,108.393,0.518,0.688,2.426,3.631,0.04,34.594,33.949,9.693,19.092,1.019,4.1,64.2,26.1,38.513,2.402,1.943
0.846,0,H,6316.77,46.384,348.754,528.91,180.155,1517.2,6.774,0,305,12.581,50.415,39.548,1180.93,5.976,19064.359,16.458,2186.045,219.835,91.895,98.85,0.432,0.618,2.493,3.543,0.044,34.232,34.514,9.119,19.385,0.992,6.233,62.47,28.42,37.759,2.384,1.895
0.841,0,H,6322.28,50.14,351.93,530.979,179.049,1512.5,6.667,0,299,12.063,50.025,40.036,1184.953,5.881,18884.307,18.768,2177.109,221.959,99.525,105.013,0.487,0.665,2.406,3.557,0.044,34.597,34.35,9.136,19.183,1.007,5.5,63.29,28.24,38.123,2.295,1.832
0.752,0,H,6315.07,49.247,348.69,538.553,189.863,1501.429,0,0,296,8.254,50.069,39.994,1185.662,6.038,19358.922,17.051,2165.556,220.862,104.191,106.101,0.507,0.696,2.374,3.577,0.046,33.695,34.252,9.579,19.539,0.984,6.133,62.9,28.7,37.243,2.346,1.836
0.802,0,H,6153.57,46.64,339.64,530.099,190.459,1505.286,0,0,291,5.714,49.878,40.223,1182.914,5.982,18802.73,17.754,2156.291,216.979,109.211,112.05,0.528,0.728,2.374,3.63,0.045,34.677,33.53,9.256,19.616,1.034,4.367,63.76,28.23,36.792,2.305,1.893
0.821,0,H,6028.61,50.426,347.344,540.091,192.748,1501.571,0,0,294,5.714,50.083,39.94,1182.281,6.48,20193.733,15,2185.317,211.969,118.342,131.783,0.538,0.747,2.306,3.591,0.041,34.753,33.3,9.18,19.793,1.044,1.88,63.1,29.2,37.578,2.483,2.1
0.776,0,H,6149.6,44.718,350.104,539.222,189.118,1504.429,0,0,290,9.516,50.061,40.029,1182.275,6.999,21710.851,19.05,2211.503,208.113,138.585,160.489,0.59,1.054,2.094,3.739,0.037,35.571,33.046,8.863,19.74,1.076,0.567,63.84,25.86,36.778,2.384,1.941
0.794,0,H,6264.54,43.419,346.873,534.117,187.244,1502.667,0,0,292,18.571,50.085,39.984,1183.533,6.999,22150.04,15.879,2208.907,211.467,126.664,134.168,0.533,0.932,2.166,3.631,0.044,34.651,33.199,9.827,19.418,1.044,1.167,62.63,26.33,36.749,2.37,1.849
